主要區域 Broad Area,小規劃統計區 TPU,2019,2020,2021,2022,2023,2024,2025
九龍 Kowloon,272,10600,10400,10200,10100,9800,9900,9700
九龍 Kowloon,280,40500,40000,40100,40000,39700,39500,39200
九龍 Kowloon,281,202600,201400,202200,204400,206200,211700,210800
九龍 Kowloon,282,54500,54200,54300,54100,54000,53700,53500
九龍 Kowloon,283,59900,59300,61300,61200,61000,60900,60700
九龍 Kowloon,284,19900,19400,19300,19100,18600,18500,18200
九龍 Kowloon,285,16800,16700,16600,16400,16100,15900,15600
九龍 Kowloon,286,39200,43000,45300,48600,57700,71000,85800
九龍 Kowloon,287,18300,18300,18300,18200,18100,18000,18000
九龍 Kowloon,288 & 289,64900,65600,66100,65800,65200,64800,64000
九龍 Kowloon,290,60400,59600,59800,59500,60700,61400,61000
九龍 Kowloon,291,89400,89100,91900,92100,91700,91700,91400
九龍 Kowloon,292,74400,74200,74500,74400,74200,74100,73900
九龍 Kowloon,293 & 296,111800,113100,113900,114300,114800,115400,128900
九龍 Kowloon,294,160000,158600,161100,162500,161700,161000,159900
九龍 Kowloon,295,1100,1000,1000,1100,1100,1100,1100
九龍 Kowloon,297,99300,99000,100100,100400,100100,99700,99300
九龍 Kowloon,298,56900,57800,59300,59700,60200,63600,71600
新界 New Territories,310 & 321,8300,8200,8200,8100,8000,8000,7900
新界 New Territories,"320, 324 & 329",118600,120900,124000,123100,120900,120400,119200
新界 New Territories,322,3700,3600,3600,3500,3400,3400,3300
新界 New Territories,323,76900,75100,74200,73100,71500,70600,69400
新界 New Territories,325,54700,54000,53800,53400,53000,52600,52200
新界 New Territories,326,164000,164700,164600,163900,162900,162300,161300
新界 New Territories,327,110200,110200,109900,109300,108200,107700,106900
新界 New Territories,328,55600,55000,55000,56100,57600,57600,57200
新界 New Territories,"331, 332, 333,
334, 336 & 340",11600,11400,11500,11500,11300,11200,11000
新界 New Territories,335,25800,25000,24800,24400,23900,23600,23200
新界 New Territories,350,106700,105500,105700,105800,113000,115600,114900
新界 New Territories,351,75600,75300,75600,75500,75600,75700,75500
新界 New Territories,"411, 412, 413,
414, 415, 416 & 427",8300,8000,8100,8600,9100,9500,9400
新界 New Territories,421 & 422,86000,84900,84900,84500,83800,83300,82600
新界 New Territories,423 & 428,184600,185700,187500,202200,220000,225800,227100
新界 New Territories,424,105000,104300,104600,104500,103500,102600,102700
新界 New Territories,425,71000,70500,71800,71900,70800,70200,71300
新界 New Territories,426,21600,23400,27300,32500,37300,39400,40700
新界 New Territories,"431, 432, 433 & 434",1900,1900,2000,2000,2000,2000,2000
新界 New Territories,441,17600,17300,17300,17100,16800,16600,16300
新界 New Territories,442,7100,7100,7100,7100,7100,7100,7100
新界 New Territories,510,279900,278200,278800,282400,286700,287100,285400
新界 New Territories,511,6200,6100,6300,6300,6300,6300,6200
新界 New Territories,512,7600,7500,7500,7500,7400,7300,8600
新界 New Territories,513,1800,1800,1800,1800,1800,1800,1800
新界 New Territories,514,4200,4300,4600,4700,4800,4800,4900
新界 New Territories,515,29200,29100,29400,29500,29700,30100,30900
新界 New Territories,516,3200,3200,3400,3500,3600,3600,3600
新界 New Territories,517,1500,1500,1600,1600,1600,1600,1600
新界 New Territories,518,2400,2400,2500,2600,2600,2600,2600
新界 New Territories,519,14000,13900,14000,13800,13600,13500,13200
新界 New Territories,521,10000,9900,10100,10100,10000,9900,9800
新界 New Territories,522,21700,21600,21900,21900,21600,21500,21100
新界 New Territories,523,10700,10600,10700,10700,10600,10600,10500
新界 New Territories,524,77300,76300,76000,76200,77000,78400,78300
新界 New Territories,525,1400,1500,1500,1500,1500,1500,1600
新界 New Territories,526,11200,11700,12300,12600,12500,12500,12400
新界 New Territories,527,65800,65900,66400,66300,65700,65400,64700
新界 New Territories,528,6300,6300,6300,6300,6200,6100,6000
新界 New Territories,529,20600,20200,20900,21100,20700,20700,20400
新界 New Territories,531,17300,17400,17800,19700,21900,23700,24700
新界 New Territories,532,11000,10900,11200,11200,11100,11200,11200
新界 New Territories,533,5600,5600,5700,5700,5600,5700,5600
新界 New Territories,541,19400,18900,19000,18900,18600,18500,18200
新界 New Territories,542,13800,13500,13800,13900,13800,13900,14100
新界 New Territories,543 & 546,4300,4200,4300,4300,4200,4800,5000
新界 New Territories,544,3000,3000,3000,3000,3000,3000,3000
新界 New Territories,545,2700,2600,2700,2700,3700,4100,4200
新界 New Territories,547,12900,12700,12900,12900,12900,12900,12800
新界 New Territories,548,3900,3900,4000,4000,3900,3900,3900
新界 New Territories,"610, 621 & 632",3100,3900,4400,4500,4400,4400,4700
新界 New Territories,"620, 622 & 641",4300,4400,4500,4500,4500,4600,4700
新界 New Territories,623,1300,1300,1300,1300,1300,1200,1200
新界 New Territories,624,55500,54700,54900,54800,54300,54100,53700
新界 New Territories,625,59500,59000,59200,60800,62600,64000,64000
新界 New Territories,626,23100,26000,26300,26300,26200,26200,26100
